Course Name,Course Link
Laravel,https://codecourse.com/subjects/laravel/index
Livewire,https://codecourse.com/subjects/laravel-livewire/index
PHP,https://codecourse.com/subjects/php/index
Vue.js,https://codecourse.com/subjects/vue-js/index
Vuex,https://codecourse.com/subjects/vuex/index
Alpine.js,https://codecourse.com/subjects/alpine-js/index
Nuxt.js,https://codecourse.com/subjects/nuxt-js/index
Flutter,https://codecourse.com/subjects/flutter/index
Slim,https://codecourse.com/subjects/slim/index
Inertia,https://codecourse.com/subjects/inertia/index
