Category,Titles,Duration,Episodes,Links
Nuxt.js,Getting Started with Nuxt 3,1 hr 15 mins, 18 episodes,https://codecourse.com/courses/getting-started-with-nuxt-3
Nuxt.js,Create a Realtime Post Timeline with Nuxt and Laravel,2 hrs 36 mins, 25 episodes,https://codecourse.com/courses/create-a-realtime-post-timeline-with-nuxt-and-laravel
Nuxt.js,Laravel Fortify with Nuxt,1 hr 42 mins, 18 episodes,https://codecourse.com/courses/laravel-fortify-with-nuxt
Nuxt.js,Laravel Websockets with Nuxt, 52 mins, 9 episodes,https://codecourse.com/courses/laravel-websockets-with-nuxt
Nuxt.js,Nuxt Authentication with Laravel Sanctum, 14 mins, 1 episode,https://codecourse.com/courses/nuxt-authentication-with-laravel-sanctum
Nuxt.js,"Build a Job Board with Laravel, GraphQL, Nuxt and Apollo",3 hrs 53 mins, 30 episodes,https://codecourse.com/courses/build-a-job-board-with-laravel-graphql-nuxt-and-apollo
Nuxt.js,The Nuxt fetch method, 31 mins, 8 episodes,https://codecourse.com/courses/the-nuxt-fetch-method
Nuxt.js,Laravel Sanctum (Airlock) with Nuxt, 45 mins, 7 episodes,https://codecourse.com/courses/laravel-airlock-with-nuxt
Nuxt.js,Build a code snippet website,7 hrs 26 mins, 70 episodes,https://codecourse.com/courses/build-a-code-snippet-website-with-me
Nuxt.js,Vue InstantSearch in Nuxt, 38 mins, 9 episodes,https://codecourse.com/courses/vue-instantsearch-in-nuxt
Nuxt.js,Vue Roles and Permissions, 46 mins, 8 episodes,https://codecourse.com/courses/vue-roles-and-permissions
Nuxt.js,Deploying Nuxt, 47 mins, 7 episodes,https://codecourse.com/courses/deploying-nuxt
Nuxt.js,Tailwind with Nuxt.js, 7 mins, 1 episode,https://codecourse.com/courses/tailwind-with-nuxt-js
Nuxt.js,Using .env files with Nuxt, 5 mins, 1 episode,https://codecourse.com/courses/using-env-files-with-nuxt
Nuxt.js,Build an e-commerce platform,14 hrs 16 mins, 126 episodes,https://codecourse.com/courses/build-an-e-commerce-platform
Nuxt.js,Nuxt.js + Laravel Authentication,1 hr 3 mins, 14 episodes,https://codecourse.com/courses/nuxt-js-laravel-authentication
Nuxt.js,Nuxt.js Quickstart, 46 mins, 14 episodes,https://codecourse.com/courses/nuxt-js-quickstart
