Category,Titles,Duration,Episodes,Links
PHP,PHP Enums, 31 mins, 7 episodes,https://codecourse.com/courses/php-enums
PHP,New in PHP 8,1 hr 3 mins, 11 episodes,https://codecourse.com/courses/new-in-php-8
PHP,New in PHP 7.4, 44 mins, 12 episodes,https://codecourse.com/courses/new-in-php-7-4
PHP,PHP Arrow Functions, 27 mins, 6 episodes,https://codecourse.com/courses/php-arrow-functions
PHP,Array Destructuring in PHP, 23 mins, 9 episodes,https://codecourse.com/courses/array-destructuring-in-php
PHP,How middleware works, 20 mins, 1 episode,https://codecourse.com/courses/how-middleware-works
PHP,Build a PHP Validator From Scratch,1 hr 53 mins, 18 episodes,https://codecourse.com/courses/build-a-php-validator-from-scratch
PHP,All About Exceptions,1 hr 51 mins, 7 episodes,https://codecourse.com/courses/all-about-php-exceptions
PHP,Every PHP Magic Method,1 hr 55 mins, 17 episodes,https://codecourse.com/courses/every-php-magic-method
PHP,The Pagination Builder,1 hr 4 mins, 10 episodes,https://codecourse.com/courses/the-pagination-builder
PHP,Roll your own Facades, 18 mins, 4 episodes,https://codecourse.com/courses/roll-your-own-facades
PHP,JWT Authentication from Scratch,1 hr 24 mins, 14 episodes,https://codecourse.com/courses/jwt-authentication-from-scratch
PHP,Action-Domain-Responder (ADR) with Laravel,1 hr 16 mins, 10 episodes,https://codecourse.com/courses/action-domain-responder-with-laravel
PHP,Action-Domain-Responder (ADR) with Slim, 55 mins, 7 episodes,https://codecourse.com/courses/action-domain-responder-adr-with-slim
PHP,Cleaning up code with dynamic method calling, 17 mins, 1 episode,https://codecourse.com/courses/cleaning-up-code-with-dynamic-method-calling
PHP,"The ""No Framework"" Framework",6 hrs 51 mins, 46 episodes,https://codecourse.com/courses/the-no-framework-framework
PHP,Build your own realtime PHP server,2 hrs 29 mins, 18 episodes,https://codecourse.com/courses/build-your-own-realtime-php-server
PHP,Create a Telegram reminder app,1 hr 24 mins, 12 episodes,https://codecourse.com/courses/create-a-telegram-reminder-app
PHP,Learn how autowiring works, 44 mins, 3 episodes,https://codecourse.com/courses/learn-how-autowiring-works
PHP,Roll your own task scheduler,1 hr 26 mins, 11 episodes,https://codecourse.com/courses/roll-your-own-task-scheduler
PHP,Realtime PHP with Ratchet,1 hr 42 mins, 13 episodes,https://codecourse.com/courses/realtime-php-with-ratchet
PHP,Roll your own event dispatcher, 49 mins, 9 episodes,https://codecourse.com/courses/roll-your-own-event-dispatcher
PHP,Vue/Vuex Single Page App Boilerplate,2 hrs 31 mins, 18 episodes,https://codecourse.com/courses/vue-laravel-spa
PHP,Drag and drop sorting with Laravel, 49 mins, 6 episodes,https://codecourse.com/courses/laravel-drag-and-drop-sorting
PHP,Build a classified ads site,7 hrs 8 mins, 44 episodes,https://codecourse.com/courses/build-a-classified-ads-site
PHP,Slim 3 Pagination,1 hr 0 mins, 10 episodes,https://codecourse.com/courses/slim-3-pagination
PHP,Roles and permissions in Laravel,1 hr 7 mins, 8 episodes,https://codecourse.com/courses/laravel-roles-and-permissions
PHP,Build a Placekitten clone with Silex, 34 mins, 6 episodes,https://codecourse.com/courses/build-a-placekitten-clone
