Category,Titles,Duration,Episodes,Links
Vuex,Build a Snackbar with Vue, 18 mins, 1 episode,https://codecourse.com/courses/build-a-snackbar-with-vue
Vuex,Vue Authentication,1 hr 22 mins, 12 episodes,https://codecourse.com/courses/vue-authentication
Vuex,Super Fast Data Nesting, 51 mins, 9 episodes,https://codecourse.com/courses/super-fast-data-nesting
Vuex,Vue.js + Firebase Authentication, 49 mins, 9 episodes,https://codecourse.com/courses/vue-js-firebase-authentication
Vuex,Testing Vue,2 hrs 41 mins, 24 episodes,https://codecourse.com/courses/testing-vue
Vuex,Vuex validation strategies, 43 mins, 6 episodes,https://codecourse.com/courses/vuex-validation-strategies
Vuex,Unit testing Vuex,1 hr 29 mins, 11 episodes,https://codecourse.com/courses/unit-testing-vuex
Vuex,Build a URL shortener,4 hrs 19 mins, 30 episodes,https://codecourse.com/courses/build-a-url-shortener
Vuex,Learn Vuex,1 hr 41 mins, 16 episodes,https://codecourse.com/courses/learn-vuex
Vuex,Build a Podcast App,5 hrs 7 mins, 35 episodes,https://codecourse.com/courses/build-a-podcast-site
Vuex,Vue/Vuex Single Page App Boilerplate,2 hrs 31 mins, 18 episodes,https://codecourse.com/courses/vue-laravel-spa
Vuex,Build a notes app with Vuex,1 hr 57 mins, 12 episodes,https://codecourse.com/courses/vuex-notes-app
Vuex,Laravel real-time private messages,4 hrs 27 mins, 29 episodes,https://codecourse.com/courses/laravel-private-messages-dashboard
